title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat,Cluster,ClusterName
Midnight Sun,2018,91.0,"Drama,Romance",6.6,39783,10.591220100394574,0.5470606340412435,0.6923361034164358,0.3787498277046393,-0.1452754693751923,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,High,Many,Short,3,Mainstream Popcorn
Jiro Dreams of Sushi,2011,81.0,Documentary,7.8,39746,10.590289645536233,0.935026161895968,0.6922745460141582,0.6472948117378919,0.2427516158818098,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Short,1,Mass Favorites
The New Guy,2002,88.0,Comedy,5.8,39743,10.590214165293151,0.2546937519236688,0.6921822099107418,0.1762944840569833,-0.4374884579870729,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Many,Short,3,Mainstream Popcorn
Wish I Was Here,2014,106.0,"Comedy,Drama",6.6,39743,10.590214165293151,0.5470606340412435,0.6921822099107418,0.3786656386258394,-0.1451215758694982,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Long,3,Mainstream Popcorn
"The Good, the Bad, the Weird",2008,130.0,"Action,Adventure,Comedy",7.2,39736,10.59003802256676,0.7735303170206217,0.6920898738073253,0.5353524994929424,0.0814404432132963,2000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Epic,1,Mass Favorites
On the Rocks,2020,96.0,"Comedy,Drama,Romance",6.4,39722,10.589685644007869,0.4660818713450292,0.6920283164050477,0.3225418527338146,-0.2259464450600184,2020,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium,Many,Standard,3,Mainstream Popcorn
Thelma,2017,116.0,"Drama,Fantasy,Horror",6.9,39690,10.588879740723009,0.6645737149892275,0.69196675900277,0.4598629196795263,-0.0273930440135425,2010,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,High,Many,Long,1,Mass Favorites
The Hottie & the Nottie,2008,91.0,"Comedy,Romance",2.0,39664,10.588224465736102,0.0030470914127423,0.6919052016004925,0.0021082983982286,-0.6888581101877501,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low,Many,Short,0,Forgotten Films
Mannequin,1987,90.0,"Comedy,Fantasy,Romance",6.0,39663,10.588199254274972,0.3132656201908279,0.6918436441982149,0.2167308282748362,-0.3785780240073869,1980,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium,Many,Short,3,Mainstream Popcorn
Friendship,2024,100.0,Comedy,6.6,39648,10.587821006063988,0.5470606340412435,0.6917820867959372,0.37844674702096,-0.1447214527546937,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Standard,3,Mainstream Popcorn
Firestarter,1984,114.0,"Action,Horror,Sci-Fi",6.1,39628,10.58731645245708,0.3465066174207448,0.6917205293936596,0.2396857408406839,-0.3452139119729147,1980,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Medium,Many,Long,3,Mainstream Popcorn
Mickey Blue Eyes,1999,102.0,"Comedy,Crime,Romance",5.9,39609,10.586836890615963,0.2845798707294552,0.6916589719913819,0.1968322208381753,-0.4070791012619267,1990,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium,Many,Standard,3,Mainstream Popcorn
Cold in July,2014,109.0,"Crime,Thriller",6.7,39605,10.586735900916826,0.5894736842105263,0.6915974145891043,0.4076784759683141,-0.102123730378578,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High,Many,Long,3,Mainstream Popcorn
