title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat
Harry Potter and the Deathly Hallows: Part 2,2011,130.0,"Adventure,Family,Fantasy",8.1,1044102,13.858668701562072,0.9710987996306556,0.9956909818405664,0.9669143172684429,-0.024592182209910773,2010,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Dune: Part One,2021,155.0,"Action,Adventure,Drama",8.0,1040151,13.854877414284276,0.9603570329332102,0.9956294244382887,0.9561597199545547,-0.03527239150507855,2020,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Die Hard,1988,132.0,"Action,Thriller",8.2,1029056,13.844153406868024,0.9799630655586334,0.9955678670360111,0.9756197389522794,-0.015604801477377639,1980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Top,Massive,Epic
The Intouchables,2011,112.0,"Comedy,Drama",8.5,1025679,13.840866365226582,0.9936595875654047,0.9955063096337334,0.9891943890494137,-0.001846722068328699,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Long
Star Wars: Episode VII - The Force Awakens,2015,138.0,"Action,Adventure,Sci-Fi",7.7,1024646,13.839858720994805,0.9183441058787319,0.9954447522314558,0.9141608209396721,-0.07710064635272385,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
Oppenheimer,2023,180.0,"Biography,Drama,History",8.2,1024108,13.83933352422919,0.9799630655586334,0.9953831948291783,0.975438767010348,-0.015420129270544813,2020,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Spider-Man: No Way Home,2021,148.0,"Action,Adventure,Fantasy",8.1,1017592,13.832950592613518,0.9710987996306556,0.9953216374269006,0.9665556473516818,-0.02422283779624501,2020,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Scarface,1983,170.0,"Crime,Drama",8.3,1014031,13.829445020820721,0.9863650353955064,0.995260080024623,0.9816897440612217,-0.00889504462911661,1980,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
The Pianist,2002,150.0,"Biography,Drama,Music",8.5,1010890,13.826342678144757,0.9936595875654047,0.9951985226223453,0.9888885535346198,-0.0015389350569405824,2000,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
The Martian,2015,144.0,"Adventure,Drama,Sci-Fi",8.0,1010793,13.826246718586196,0.9603570329332102,0.9951369652200677,0.9556867832809034,-0.034779932286857496,2010,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
